timestamp,protocol_id,vaultAddress,vaultName,block_number,borrowSharePrice,total_borrow,total_supply,TVL_USD,Supply_APR,Borrow_APR,Utilization,unix_ts,HYPE_price_usd,FundingRate,FundingPremium
2025-07-13 01:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8260144.0,1.002568068456574,3449996.4743885244,5595254.236874572,266251853.93600392,0.4344926470588235,0.8808529411764706,0.6165933357687143,1752368400,47.1392590009674,0.0000125,0.0005922179
2025-07-13 02:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8263856.0,1.0025690908296765,3450000.601219838,5595400.316264928,265069971.10672915,0.4344905660377358,0.8808056603773585,0.6165779758762284,1752372000,47.1392590009674,0.0000125,0.0005922179
2025-07-13 03:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8267481.0,1.002570089110789,3450003.0889864303,5595470.6007713685,264964063.76722535,0.4345,0.8808000000000001,0.6165706756659265,1752375600,47.1392590009674,0.0000125,0.0005922179
2025-07-13 04:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8271182.0,1.002571108783428,3449998.568667084,5594662.270801831,265898614.15742657,0.4345938775510203,0.8809204081632653,0.6166589512779701,1752379200,47.1392590009674,0.0000125,0.0005922179
2025-07-13 05:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8274800.0,1.0025721058126416,3449118.1825617743,5590706.58013804,266862244.43546775,0.4349897435897436,0.8813384615384615,0.6169377936619619,1752382800,47.1392590009674,0.0000125,0.0005922179
2025-07-13 06:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8278484.0,1.002573121947722,3449766.7113663624,5587930.987860121,266010542.8506103,0.4355828947368421,0.88195,0.6173602928992935,1752386400,47.1392590009674,0.0000125,0.0005922179
2025-07-13 07:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8282165.0,1.002574137408346,3449982.0597180035,5587182.510961458,267232965.46645653,0.4357613861386138,0.882129702970297,0.6174815397473602,1752390000,47.1392590009674,0.0000125,0.0005922179
2025-07-13 08:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8285748.0,1.0025751250596848,3449996.906506406,5590408.772547723,268011890.6407818,0.4352546391752577,0.8816309278350516,0.6171278428597156,1752393600,47.1392590009674,0.0000125,0.0005922179
2025-07-13 09:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8289343.0,1.0025761160276483,3449991.455115723,5590997.76344765,267048155.78079236,0.4351392857142857,0.8815392857142857,0.6170618556978835,1752397200,47.1392590009674,0.0000125,0.0005922179
2025-07-13 10:00:00,hyperlend_hwhype_999,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,HyperLend hWHYPE,8293129.0,1.002577159361837,3449992.321943527,5592713.7719626585,268402722.9871459,0.4349024390243902,0.8812426829268293,0.6168726780260054,1752400800,47.1392590009674,0.0000125,0.0005922179
