timestamp,protocol_id,vaultAddress,vaultName,block_number,borrowSharePrice,total_borrow,total_supply,TVL_USD,Supply_APR,Borrow_APR,Utilization,unix_ts,HYPE_price_usd,FundingRate,FundingPremium
2025-04-10 20:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2308522.0,1.0011771725625551,1355266.348604201,1650883.50793713,23518027.81780856,0.5990833333333333,0.9121595238095236,0.8209339678350056,1744315200,14.341904993429681,0.0000495119,0.0008960952
2025-04-10 21:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2310291.0,1.0011781599667,1354588.4360122003,1656266.9074770089,23640219.17316889,0.5945769230769231,0.9087384615384616,0.8178563671694948,1744318800,14.341904993429681,0.0000495119,0.0008960952
2025-04-10 22:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2312257.0,1.0011792651680271,1351673.3899009686,1642478.234223047,23345415.331148908,0.6020318181818182,0.9144,0.8229475202393536,1744322400,14.341904993429681,0.0000495119,0.0008960952
2025-04-10 23:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2313901.0,1.0011801941014962,1352692.2990938714,1634327.9740435546,23458065.26129392,0.6089166666666667,0.9196388888888888,0.8276749346381942,1744326000,14.341904993429681,0.0000495119,0.0008960952
2025-04-11 00:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2315970.0,1.001181362629998,1352622.0555987367,1639059.2980300842,22972316.02730504,0.6053954545454545,0.9169545454545456,0.8252429044052254,1744329600,14.341904993429681,0.0000495119,0.0008960952
2025-04-11 01:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2317753.0,1.0011823584639177,1352389.7426970145,1653409.1713554594,23221020.948771417,0.5946947368421052,0.9088315789473684,0.8179401482261828,1744333200,14.341904993429681,0.0000495119,0.0008960952
2025-04-11 02:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2319647.0,1.0011834159769724,1350740.8031991634,1651117.96596797,24229195.59919416,0.5949,0.9089714285714284,0.8180764978880779,1744336800,14.341904993429681,0.0000495119,0.0008960952
2025-04-11 03:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2321493.0,1.001184454238091,1363678.3451337412,1655852.1241805507,24587737.25223616,0.6029,0.9150833333333334,0.8235508021639307,1744340400,14.341904993429681,0.0000495119,0.0008960952
2025-04-11 04:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2323407.0,1.0011855304812725,1363507.4236688868,1655127.5796282175,24879885.80498717,0.6032394736842105,0.915342105263158,0.8238080498756261,1744344000,14.341904993429681,0.0000495119,0.0008960952
2025-04-11 05:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2325109.0,1.0011864879519872,1363441.400493493,1654633.2996485264,24946462.969372805,0.60355625,0.91559375,0.8240142397612282,1744347600,14.341904993429681,0.0000495119,0.0008960952
2025-04-11 06:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2327126.0,1.0011876234623087,1363308.0203986191,1652667.348513845,25045144.47021177,0.6048676470588236,0.9165764705882352,0.8249137502623071,1744351200,14.341904993429681,0.0000495119,0.0008960952
2025-04-11 07:00:00,hypurrfi_hywhype_999,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,HypurrFi hyWHYPE,2328774.0,1.001188556354223,1359927.1538152932,1640588.0683092712,25135638.280908696,0.610796875,0.92104375,0.8289266392244236,1744354800,14.341904993429681,0.0000495119,0.0008960952
